Web	웹
directly	직접적으로
Retrieving	조회하기
element	요소
invalid	잘못된
raise	일으키다
supports	지원한다
separated	분할된
signs	기호
percent	백분율
wildcard	와일드카드
sign	기호
encapsulates	캡슐화한다
complexity	복잡성
compare	비교하다
standard	표준
comparison	비교
operator	연산자
equals sign	등호
current	현재의
example	예
increment	증가시키다
accessing	접근하기
One-to-many	일대다
foreign key	외래 키
definition	정의
exception	예외
domain	도메인
frameworks	프레임워크
performing	수행하기
rows	행
result	결과
write	쓰다
efficient	효율적인
level	수준
indexing	인덱싱
slicing	슬라이싱
performed	수행되다
cost	비용
transaction	트랜잭션
calls	호출
implement	구현하다
consistency	일관성
tablespaces	테이블스페이스
indexes	인덱스
tablespace	테이블스페이스
transactions	트랜잭션
default	기본적인
implicit	묵시적인
response	응답
supported	지원되는
examples	예제
roll back	되돌리다
commit	확정하다
completion	완료
globally	전역적으로
deactivate	비활성화하다
email	이메일
relatively	상대적으로
wrappers	래퍼
platforms	플랫폼
SMTP	SMTP
host	호스트
port	포트
secure	안전한
attacker	공격자
protect	보호
injection	주입
parameter	파라미터
messages	메시지
attachment	첨부
MIME	MIME
optionally	선택적으로
combination	조합
recipients	수신인
credentials	자격증명
address	주소
configuration	설정
Console	콘솔
file	파일
locally	지역적으로
delegates	위임한다
abstraction	추상화
articles	기사
formset	폼셋
validation	유효성 검증
numeric	숫자
concepts	개념
handles	처리하다
valid	유효한
JavaScript	자바스크립트
CSS	CSS
components	구성요소
internationalization	국제화
declarative	선언적인
differences	차이
uploads	업로드
returns	반환하다
submission	제출
hidden	숨겨진
visible	보이는
places	장소
duplication	중복
media	미디어
static	정적
approach	접근
function-based	함수 기반의
dictionaries	사전
member	멤버
Extending	확장하기
sections	섹션
contexts	컨텍스트
constructor	생성자
decorators	장식자
compression	압축
uploaded	업로드한
files	파일
Handling	다루기
megabytes	메가바이트
upload	업로드
modes	모드
Handlers	처리기
handles	다루다
quotas	쿼터
AJAX	AJAX
CSRF	CSRF
bytes	바이트
KB	KB
encoding	인코딩
structures	구조
hooks	훅
Activating	활성화하기
Writing	작성하기
run-time	실행시간
ID	ID
Enabling	허용하기
Configuring	설정하기
persistent	지속되는
file-based	파일 기반의
sessions	세션
Using	사용하기
cookies-based	쿠키 기반의
setting	설정
read	읽다
guarantee	보증
strings	문자열
PHP	PHP
Required	필요한
patterns	패턴
Named	명명된
variables	변수
deployments	배치
Mapping	대응시키기
Returning	반환하기
subclasses	하위 클래스
locale	로케일
localized	지역화된
Controlling	제어하기
localization	지역화
templates	템플릿
outputs	출력하다
tags	태그
Enables	쓸 수 있게 하다
disables	못 쓰게 하다
basis	기준
localize	지역화하다
disable	쓸 수 없게 하다
Limitations	제한
formats	포맷
separators	분리자
glossary	용어
translation	번역
formatting	포매팅
lower case	소문자
upper case	대문자
separator	분리자
dash	대쉬
format	포맷
naive	안일한
guide	안내
converts	변환하다
deterministic	결정론적
Troubleshooting	문제해결
be compiled	컴파일되다
GNU	GNU
comment	주석
lazy	게으른
paths	경로
language	언어
file extension	파일 확장자
BOM	BOM
Windows	윈도우즈
Miscellaneous	기타
catalog	카탈로그
Install	설치하기
FAQ	FAQ
Apache	아파치
daemon	데몬
unofficial	비공식
3rd party	서드 파티
requirements	요구사항
step	단계
protection	방어, 방지
cross site scripting	크로스 사이트 스크립팅
clickjacking	클릭재킹
cookies	쿠키
HTTPS	HTTPS
virtual	가상
hosting	호스팅
headers	헤더
topics	주제
serialization	직렬화
Identifier	식별자
Dependencies	의존성
settings	설정
signals	시그널
Sending	보내기
Receiver	수신자
cryptographic	암호의
signing	서명
untrusted	신뢰할 수 없는
tests	테스트
JUnit	JUnit
privileges	특권
tuples	튜플
status	상태
codes	코드
heavyweight	무거운
complex	복잡한
Fixture	픽스처
loading	적재
utilities	유틸리티
finding	찾기
permalink	퍼머링크
imported	임포트된
release notes	릴리스 노트
localflavor	localflavor
script	스크립트
pagination	페이지네이션
forms	폼
testing	테스팅
Built-in	내장된
Unicode	유니코드
HOWTO	하우투
internals	내부의
display 표시하다
capture 캡처하다
placeholder 플레이스홀더
record  레코드
shortcut	지름길, 단축키
iterable	이터레이션에 쓸 수 있는
prefix	접두어
trailing	마지막의
traceback	트레이스백
poll	투표
data type	자료형
data types	자료형
e.g.	예를 들어	라틴어 exempli gratia를 줄인 것. for example로 읽음
button	버튼
Cross Site Request Forgeries	교차 사이트 요청 위조
replace	치환하다
replaces	치환하다
usability	편의성
admin	관리자
helper	헬퍼
you	독자	사용자, 개발자
list	리스트
close	종결community	커뮤니티
PEP	PEP
BDFL	BDFL
procedure	절차
champion	챔피언
